"state","average_spending","topspender_share","correlation_coef"
"AL","1207236.8453846155","0.846590155173044","0.9010823908010881"
"AK","1978219.19","0.6045059430957013","0.9230298064567679"
"AZ","1079832.6453333334","0.8543912783684864","0.8421248167568908"
"AR","682180.5871428571","0.994636543469173","0.9948409150250662"
"CA","552806.5581052632","0.8865972942185698","0.8797398923694265"
"CO","1713587.8086363638","0.8255727294859306","0.8753929346694742"
"CT","1494433.8059999999","0.7965555542658971","0.9453927111205466"
"DE","1515074.3625","0.985756136429953","0.9908593765888817"
"FL","913824.6105357142","0.7912698520009946","0.8575812514381028"
"GA","1561176.8678571428","0.8505269606563033","0.7821107653506086"
"HI","874056.3","1.0","0.5"
"ID","983110.1133333333","0.775667601495428","0.906782188029608"
"IL","1316411.77775","0.828417834710711","0.8806856009060795"
"IN","850208.6689473685","0.82864921284929","0.9147161228084001"
"IA","945679.4838461538","0.8658111090601984","0.8318548490211434"
"KS","1209377.8225","0.7403559131488653","0.9795495948008224"
"KY","3245481.856666667","0.8217070328853477","0.8949639453132581"
"LA","1518208.069","0.7123871283657061","0.8048814528090218"
"ME","2982436.06","0.6290481977827446","0.5044335665697656"
"MD","627261.0737500001","0.8685675058903488","0.9653604438281683"
"MA","1676182.9723529413","0.9557363345778029","0.9429862729770893"
"MI","846591.5024242423","0.9001093561133583","0.8558787674573242"
"MN","2713127.4017391303","0.7646800688418258","0.9438157368598978"
"MS","1361814.5916666666","0.8042090593140021","0.8090462789638582"
"MO","883482.8450000002","0.8670216143584409","0.9147793842074806"
"MT","2539065.2566666664","1.0","0.5"
"NE","1012874.5633333334","0.812935377875793","0.9661606067271404"
"NV","1417090.8066666666","0.7341943973044467","0.9288405194629721"
"NH","3120311.9914285718","0.6022593925497967","0.8874999979722002"
"NJ","843008.2671875","0.8916015711301991","0.870186514965646"
"NM","2733465.2075","0.7670709222881664","0.8766614856273531"
"NY","947438.7894000001","0.8675590476071839","0.7736342555796424"
"NC","1536632.3566666667","0.8738457649472137","0.8543777568198081"
"ND","1718442.0150000001","0.593484162455141","0.5"
"OH","913167.7294444446","0.8148319646747125","0.8584584755094639"
"OK","1084059.3775000002","0.8475328188131831","0.9135034702989612"
"OR","2577201.644","0.8816337283762724","0.8763590315246006"
"PA","1209507.4994594592","0.7469346567986852","0.8535174460955477"
"RI","774553.7949999999","0.9696036666857774","0.995774060945792"
"SC","1075101.7883333333","0.8601696059892474","0.9139594329833345"
"SD","2069547.95","0.7800210256573699","0.917604509077426"
"TN","505816.61076923076","0.9289275662714044","0.9271264175671392"
"TX","958489.3110169489","0.9179882933893502","0.8815163372039683"
"UT","398801.3728571428","0.8391884576472067","0.9421053521056004"
"VT","397572.75","1.0","0.5"
"VA","1466076.7673076924","0.7864832143987087","0.8690136096143228"
"WA","729107.5388888888","0.8613833693940991","0.9187133553276005"
"WV","1400408.5833333333","0.9113525635254023","0.8159889294229817"
"WI","724554.9992857141","0.9120262277849523","0.9378629541774676"
"WY","1132788.2616666665","0.5115886946568676","0.7614733564616831"
"NA","1169435.6745766357","0.8478751329314448","0.8613863967012974"
