"state","average_spending","topspender_share","correlation_coef"
"AL","679599.8678571429","0.9286750759094686","0.9345168132615296"
"AK","4000000","0.7552091500059104","0.5"
"AZ","784437.235","0.9323569204281337","0.9130770039413839"
"AR","951264.8960000001","0.8274113964262015","0.784082982181854"
"CA","633228.5484946235","0.9017109706602162","0.8756830565259702"
"CO","1571291.757","0.748654254966225","0.9084790718641942"
"CT","1370165.1658333333","0.8247208921731145","0.9140684922301457"
"DE","382339.285","0.9942080239021214","0.5"
"FL","1020017.0728888889","0.9144596719149912","0.892801858323878"
"GA","1179936.8730434782","0.902977388051786","0.8987988448338563"
"HI","762997.0299999999","0.8068291124391832","0.9729815780930138"
"ID","418686.318","0.9388991591361026","0.9364131987773405"
"IL","1128276.180625","0.9034380684179488","0.9338032430825596"
"IN","728628.4033333333","0.8236907105267617","0.8561369642778263"
"IA","1040792.3207692306","0.8021742158492775","0.9001708877889706"
"KS","979887.5788888889","0.8105751960161474","0.9302635291344917"
"KY","1712316.2991666666","0.8498421763288142","0.8385696599186939"
"LA","1162659.1024999998","0.7883005640922548","0.9521669572978493"
"ME","772154.44","0.605933719385392","0.8668380373804772"
"MD","843283.8738888889","0.8600953797226542","0.947853051285812"
"MA","442253.23937499995","0.9214192593514229","0.9530635966089247"
"MI","346138.59851851844","0.9340890610117412","0.8858829973382103"
"MN","609012.1333333334","0.7953778009009659","0.9112026646050895"
"MS","413544.6616666666","0.8732561309001292","0.9939775337648213"
"MO","1349027.7729411765","0.8552732215539685","0.8654462323737656"
"MT","330664.12","0.811817971057761","0.5"
"NE","656886.4471428572","0.5160547258742516","0.9997186509435035"
"NV","1861394.5742857142","0.8564602405919755","0.9766637570547846"
"NH","813893.7266666667","0.7589889276305115","0.9567024978594723"
"NJ","598294.7528","0.8954267354498123","0.9245788493094032"
"NM","1436907.555","0.6942772836169343","0.9815509574436677"
"NY","835146.677962963","0.8973254397639764","0.9219497793756909"
"NC","1475598.5033333334","0.8480492410773096","0.9663964846525614"
"ND","1394768.28","0.7381085619419507","0.9800631923345539"
"OH","774636.3148571427","0.8744168405610601","0.8687074365435159"
"OK","1726203.911111111","0.8821424659923854","0.6600486396680066"
"OR","1127279.9216666666","0.7877680101595351","0.9162039054180506"
"PA","1514263.6880555553","0.8550381933584644","0.8802102882858429"
"RI","1096735.2075","0.7145411338171083","0.841300145414901"
"SC","1320594.4064285713","0.9347376260037505","0.8870989531859175"
"SD","4000000","0.5983171611509648","0.6562455133158294"
"TN","368601.5513333333","0.9116421755681101","0.9174447528734031"
"TX","915518.5099999999","0.90053207383028","0.8883666764304359"
"UT","837745.92625","0.8329832372381054","0.9814462282809701"
"VT","964864.2575000001","0.6106982378037972","0.851536517083742"
"VA","734435.1231578946","0.7251730368935769","0.8591822312363986"
"WA","1633159.0736842104","0.7871031597761653","0.880065773041787"
"WV","533391.3","0.94671431458108","0.9427208323995521"
"WI","1272392.7205263157","0.8382386352395643","0.9190346062487118"
"WY","631964.95","0.7131447796274145","0.5"
"NA","1015596.3751157403","0.8633093977264934","0.8830087361540341"
