"state","average_spending","topspender_share","correlation_coef"
"AL","792004.467142857","0.873656691790443","0.8699872841430301"
"AK","1010662.7044444444","0.6513279344294671","0.9335285899892365"
"AZ","1966662.98","0.7693762055717861","0.8740724995300522"
"AR","1946930.916923077","0.737155183409803","0.75741268412517"
"CA","873150.8739285717","0.8481083644343327","0.8116417938432382"
"CO","1293532.818888889","0.7420445187239035","0.8868269490791665"
"CT","3435085.058333333","0.800618637811295","0.5672269185030038"
"DE","1410042.088","0.6361853361047364","0.8242774536336689"
"FL","1252045.9743037974","0.7988882059498278","0.8773076427931371"
"GA","919453.1371428572","0.8732181831563486","0.8926259209146638"
"HI","780342.4377777777","0.9633491068395851","0.8378451180718363"
"ID","980770.4357142858","0.9267359433072007","0.82323268559129"
"IL","1129248.526862745","0.8129505124683384","0.8898065786989988"
"IN","1006116.2860869564","0.8017339942405656","0.8421580061281116"
"IA","1412355.3738461537","0.7495581592128212","0.6867890834164619"
"KS","1300785.4716666667","0.813824835413054","0.9315448159574438"
"KY","1787298.8807692307","0.8246391635431074","0.9579118260751697"
"LA","1060759.3178260871","0.9077781104487861","0.9579978209598571"
"ME","874698.1200000001","0.7070908549692017","0.9980842455678754"
"MD","645438.8220000002","0.8356243657426662","0.9220678236772546"
"MA","775405.7923076922","0.7612027582931066","0.8696932368097267"
"MI","833344.7700000001","0.800833376127121","0.8934475166300127"
"MN","1069125.245925926","0.7787050267825645","0.9028953656245179"
"MS","695782.3","0.774770210158719","0.8350971068985144"
"MO","1292409.9233333333","0.7761348259727346","0.9050436780508895"
"MT","777741.29","0.7857545084175741","0.5"
"NE","563621.1885714285","0.830981582004366","0.9775562036957555"
"NV","4000000","0.78507236891352","0.8400663125675608"
"NH","1861741.8033333335","0.5580626348247252","0.8082759000097585"
"NJ","787519.6959259259","0.8556230792461208","0.8973856001451689"
"NM","1633410.325","0.6565236399406182","0.8787052534413897"
"NY","208809.50000000003","0.5","0.5"
"NC","842528.0574193548","0.7839870984500628","0.8859343410953959"
"ND","1262914.1875","0.9865304371130651","0.9096670475048242"
"OH","1209133.0445454542","0.7560047022825204","0.8508689638802669"
"OK","509534.83999999997","0.947139304720412","0.9083707625856332"
"OR","1419687.4671428571","0.7395654918967075","0.9398354200028197"
"PA","1831102.3966666665","0.7428962398989502","0.8598568628245189"
"RI","670116.11375","0.6146887120657595","0.7791836147029643"
"SC","990789.8757894738","0.8371738476182725","0.8919709721879292"
"SD","2343867.6225","0.7537704855914973","0.9961624474591816"
"TN","524418.5591304348","0.8825284639699473","0.8705302486267279"
"TX","619349.3616393441","0.8428794682232006","0.9048749686703276"
"UT","404085.53857142857","0.9066510183429128","0.8950467636661457"
"VT","436153.4466666666","0.9196888669924608","0.9032382070567587"
"VA","1193146.7358620688","0.7329411575301399","0.8854266302855746"
"WA","2309259.6405263157","0.7680187338730882","0.8554192339370997"
"WV","1345978.332","0.6885111735461239","0.9186317253033716"
"WI","2252464.2657142854","0.7782138419932954","0.8760014005174117"
"WY","322807.5","0.8925373790881563","0.5"
"NA","1183527.7122914754","0.7721706321436448","0.8394740490066472"
