"state","average_spending","topspender_share","correlation_coef"
"AL","641724.5292307693","0.9722924571914308","0.9160981317216305"
"AK","4000000","0.6580935768673137","0.8601835480805033"
"AZ","1089008.0077777777","0.8404248183071976","0.9132987892519453"
"AR","3457344.6859999998","0.6629407933098452","0.9366053020697425"
"CA","930198.7131632653","0.8591583687319143","0.8263143352736015"
"CO","2535134.025","0.7666611268631416","0.8105854232766053"
"CT","1063738.613","0.8150532937634031","0.9909935368300219"
"DE","1316555.7575","0.9824305275606553","0.9761450933359075"
"FL","849096.6294545454","0.8957028056841478","0.8662951589281924"
"GA","1921747.7120833334","0.9269994155109073","0.8638237588571639"
"HI","1718356.316","0.8562384084809943","0.9825550281742204"
"ID","836689.4283333333","0.7997801313518891","0.8594013449777832"
"IL","1337503.0424324325","0.8574653693933243","0.8223464446366575"
"IN","464164.1639999999","0.8001090324331657","0.7126265938409153"
"IA","3353727.0018181815","0.5637471586140332","0.7785802618383747"
"KS","2301204.707","0.8060290150049312","0.9687888717356616"
"KY","4000000","0.8459293319467963","0.9598465884168058"
"LA","1845430.125185185","0.7338617600795263","0.9486258339902613"
"ME","1487949.28","0.7233165066112784","0.9178339992566285"
"MD","629512.425625","0.8844494568338526","0.8143373406767996"
"MA","1861021.4646666667","0.9090281665401623","0.8899854144333541"
"MI","1676373.871724138","0.8507111889697228","0.8694002717227317"
"MN","2537325.0064999997","0.7942505451536399","0.8582604696642251"
"MS","1369081.5555555555","0.9724517534871511","0.9306115845550246"
"MO","454576.3231250001","0.9398597067328299","0.9204839946333283"
"MT","3432311.6675000004","0.807547048786333","0.9851207371661782"
"NE","1283645.2289999998","0.8281662081440806","0.9109479667697085"
"NV","841130.7525000001","0.8387399143428472","0.7916729288958105"
"NH","4000000","0.6578097051036486","0.8101046869202395"
"NJ","1486215.6592592592","0.8843814503899641","0.8763027794040809"
"NM","2125385.73875","0.7379246212703585","0.8809959231293307"
"NY","1308087.41326087","0.8354989800475193","0.597996855334613"
"NC","1707681.0060714285","0.861913727545442","0.8226785667110039"
"ND","795990.6533333333","0.6147703635515049","0.9989701144251452"
"OH","968595.7051851852","0.9158174546713181","0.9127547792344075"
"OK","1270141.2181818185","0.8856908095576942","0.8690522208718706"
"OR","1833582.2666666666","0.8747592769651482","0.917196486995413"
"PA","724889.9415151515","0.8613352214450042","0.8702403356572932"
"RI","1065041.5083333335","0.9840470644831045","0.9510814619675038"
"SC","1359031.151875","0.9435476782692838","0.8593948682550804"
"SD","1615519.905","0.7595359643029198","0.9376849799191269"
"TN","899715.8469999998","0.9213242676487772","0.9117839671412091"
"TX","905448.246551724","0.9354213819128977","0.9016446326153099"
"UT","719790.1554545454","0.7686400062960037","0.8370185001100393"
"VT","212506.655","0.9892763593686043","0.5"
"VA","1521302.688275862","0.8345301263839878","0.9013883775563174"
"WA","681892.3999999999","0.7996597570262444","0.8943507850986938"
"WV","2235979.04","0.6570957327157323","0.912549216056427"
"WI","971555.5252941175","0.7943902052380902","0.9095884931457325"
"WY","778225.4639999999","0.9774564599955499","0.9888031259628339"
"NA","1385085.9226247296","0.8573276274468838","0.8403753154086471"
