"state","average_spending","topspender_share","correlation_coef"
"AL","354033.2627272727","0.8702852092973982","0.8493452512138443"
"AK","938632.345","0.9001956351717243","0.5"
"AZ","2347448.96368421","0.7646474768559917","0.8979859165645478"
"AR","441652.08142857143","0.8633134839479142","0.9936955805211409"
"CA","624734.274257426","0.886035394741704","0.906227496338854"
"CO","1188463.236875","0.6356791128870944","0.9402856000521381"
"CT","4000000","0.7229123033005806","0.9182244070868467"
"DE","539167.0599999999","0.7997495329278572","0.9407274364324397"
"FL","1304194.4998113206","0.8720859469236649","0.8203971642053868"
"GA","741572.3416000002","0.7794429774272954","0.9081631993731012"
"HI","834189.7050000001","0.5123706206633333","0.5272002480278409"
"ID","472879.81399999995","0.6593196528588815","0.967365142827724"
"IL","1252445.7351612903","0.8096778815253062","0.9034627955501969"
"IN","995798.0052631578","0.8113087073189554","0.8301538074715228"
"IA","1091913.1954545456","0.5936436077899409","0.7656722976078719"
"KS","653796.0537500001","0.8421571087471028","0.9184104714674026"
"KY","1424997.2027272729","0.8180659654751162","0.9087071096560724"
"LA","672608.5636363637","0.8115385774746401","0.9559209687246151"
"ME","567487.8714285714","0.8692588278068735","0.9624562164358469"
"MD","1270808.745","0.8526739120429493","0.9596992936926063"
"MA","630074.6264705883","0.9303324990553231","0.9748609093137526"
"MI","986941.2609999999","0.9199435784606276","0.7857735389147702"
"MN","1437509.6104166666","0.7049374029103287","0.9230313226685282"
"MS","595618.77625","0.973971036139942","0.9614956413321932"
"MO","1891719.4644444445","0.8998102760713026","0.9197795112130954"
"MT","3762717.4475","0.6332400035666346","0.8739780732268585"
"NE","3231247.45625","0.6125212248794222","0.5"
"NV","1801078.26375","0.6872581783268437","0.9460281345392392"
"NH","891338.745","1.0","0.5"
"NJ","1395421.2884615385","0.8809395474730117","0.8694788722940496"
"NM","1536535.6562500002","0.7824216304431126","0.9277990206112239"
"NY","1647157.7535416668","0.872046925208576","0.9068525835598626"
"NC","800251.5003999999","0.7958934930098186","0.6333689941886931"
"ND","1001547.2875","0.945793742364561","0.99616646239973"
"OH","1677591.3805405407","0.8036069375327095","0.8411681824565937"
"OK","479265.9055555556","0.9324698951915936","0.9883678439865727"
"OR","886141.3988888889","0.7900090766630624","0.9502815957105103"
"PA","2201570.8243243243","0.7962853151689133","0.7848232059234438"
"RI","2347569.4516666667","0.7799927538549524","0.9677634111068928"
"SC","548119.2541666667","0.7473724201231357","0.8915366201880613"
"SD","684310.405","0.8917076235308742","0.5"
"TN","2061380.9628571428","0.8779835627776237","0.911861980390397"
"TX","595696.6803174604","0.868623836737159","0.7250779135794898"
"UT","623181.4745454545","0.8154881420114511","0.912492135528317"
"VT","3974608.0625","0.5810224692266297","0.5"
"VA","1461412.3855172417","0.8166335065102385","0.9100010629527804"
"WA","1697652.2952173913","0.7362429370522456","0.9356393741591482"
"WV","1702272.15","0.7284709311266986","0.8395948521184843"
"WI","952265.7010526316","0.8206718893015876","0.9083953474546242"
"WY","920941.0275000001","0.7400808274030881","0.9853597258495923"
"NA","1249961.9908187764","0.8278314819836274","0.8595958899378252"
