"state","average_spending","topspender_share","correlation_coef"
"AL","1419557.886923077","0.9376061442976552","0.8207758258692085"
"AK","1544040.7166666668","0.9251066703883548","0.9009918367672753"
"AZ","2150845.8116666665","0.8945501441569423","0.8639025296038654"
"AR","1379566.082857143","0.9295767606840378","0.910976540816298"
"CA","1123834.017821782","0.8666833390249835","0.881648799381215"
"CO","1930893.4194444444","0.8183628912506559","0.8466144605730254"
"CT","1010661.0199999999","0.9392096817193529","0.8425807743406832"
"DE","781872.68","0.8599237602214211","0.5"
"FL","1574952.10390625","0.8847359092107938","0.7614189378783466"
"GA","1387636.242105263","0.9792514249310449","0.7680532268896135"
"HI","884435.0525","0.9921374774729949","0.989640017163026"
"ID","1125715.48","0.8789537679174213","0.9503975233851654"
"IL","1959062.719090909","0.8992239432393553","0.8513417480321352"
"IN","1924330.8515","0.8832466966646176","0.9150879972204357"
"IA","2146399.4254545453","0.7268989892166757","0.797175483924957"
"KS","1436759.4627272727","0.8301083535092764","0.6740877771648923"
"KY","1991820.9154545455","0.9148212269305844","0.8713263142185033"
"LA","1092429.7902941175","0.705901791777551","0.9488950329209427"
"ME","1798738.1375000002","0.6170481256622858","0.8433739497102235"
"MD","1446684.2688235294","0.8633304776262473","0.9096371430718339"
"MA","494403.173125","0.9336116034011516","0.9407620108894905"
"MI","899286.2126666666","0.8464825570717062","0.8775663513850084"
"MN","1706274.7559999998","0.8520355401830977","0.7243404041296995"
"MS","584430.405","0.9718045887793252","0.9962658588622276"
"MO","2508642.002","0.8755976225048137","0.934962458304731"
"MT","4000000","0.6980263532141656","0.5"
"NE","1200372.2875","0.6535959455431034","0.811872530120532"
"NV","4000000","0.7127866406797568","0.8886612921891357"
"NH","4000000","0.610742212330661","0.6689792115707284"
"NJ","991623.6854545455","0.8298449264024697","0.8786569142922772"
"NM","829411.1819999999","0.8608019973538333","0.918005725120798"
"NY","1489349.6295999999","0.8690070360815051","0.880471641144163"
"NC","1527045.4675","0.8911308063977759","0.8179731734436805"
"ND","765523.992","0.8997467904953869","0.9943578697516607"
"OH","1587239.122647059","0.9395250386424093","0.9293872133127651"
"OK","1018342.8925000001","0.986482734737835","0.9250259153417634"
"OR","1368110.914","0.9560699100040613","0.8510861575076574"
"PA","2523056.984482759","0.847619395862373","0.6469143902475737"
"RI","440835.50999999995","0.9362024256812016","0.9675353563330789"
"SC","655180.1993750001","0.8969038281575192","0.9173839699703453"
"SD","1625028.21","0.8817911063624887","0.9983625949780246"
"TN","588563.5757142858","0.9706662291759893","0.9604096442501718"
"TX","809234.7614814813","0.9680296793382183","0.8319892036083422"
"UT","1481057.12","0.8139787551242155","0.9478318690899361"
"VT","1442736.33","0.9865540459735751","0.8777359818198376"
"VA","900777.3733333332","0.8554216244555569","0.8747715730722229"
"WA","1157111.3927777777","0.9457904286527054","0.7028062216163716"
"WV","365333.80571428576","0.7852430653010162","0.8984129148664685"
"WI","3166301.2845","0.8498884387918832","0.8989975761854383"
"WY","755372.7333333333","0.9186808613954913","0.9277932320847397"
"NA","1490803.7073702028","0.8839609978609798","0.8482027140948674"
